SciLifeID,ID,Sex,Sampling,Sample
1,totRNA-10,M7-04-29,M,04-29,7
2,totRNA-14,F3-08-18,F,08-18,3
3,totRNA-15,V1-08-18,V,08-18,1
4,totRNA-16,M3-08-18,M,08-18,3
5,totRNA-17,F1-08-18,F,08-18,1
6,totRNA-18,V3-08-18,V,08-18,3
7,totRNA-2,V7-04-29,V,04-29,7
8,totRNA-33,M1-04-10,M,04-10,1
9,totRNA-34,O7-06-11,O,06-11,7
10,totRNA-35,S7-06-11,S,06-11,7
11,totRNA-40,P7-05-12,P,05-12,7
12,totRNA-47,M1-08-18,M,08-18,1
13,totRNA-48,F7-04-29,F,04-29,7
14,totRNA-49,F1-04-10,F,04-10,1
15,totRNA-50,V1-04-10,V,04-10,1